run_key	task	execution_scope	jobset	status_at_snapshot	snapshot_utc	source_logdir	source_event	source_snapshot_bytes	output_event	output_bytes	output_sha256	records_seen	records_copied_exactly	records_rewritten	image_values_removed	scalar_tags	scalar_values	text_tensor_values	latest_train_step	latest_train_value	latest_eval_step	latest_eval_value	image_digest	code_revision	launch_script	launch_script_sha256	train_script	train_script_sha256	validation
sd35-geneval-nft-ours-1singleloss-alpha-old-kl1e-4-beta1-t10of10-r1-20260828	geneval	usw2	kevinliu-vgsao1-260829-01583282	RUNNING	2026-08-31T06:51:10Z	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/baseline_exps/sd35-geneval-nft-ours-1singleloss-alpha-old-kl1e-4-beta1-t10of10-r1-20260828/logs/baseline_exps/sd35-geneval-nft-ours-1singleloss-alpha-old-kl1e-4-beta1-t10of10-r1-20260828_2026.08.28_18.06.16	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/baseline_exps/sd35-geneval-nft-ours-1singleloss-alpha-old-kl1e-4-beta1-t10of10-r1-20260828/logs/baseline_exps/sd35-geneval-nft-ours-1singleloss-alpha-old-kl1e-4-beta1-t10of10-r1-20260828_2026.08.28_18.06.16/events.out.tfevents.1787940377.kevinliu-vgsao1-260829-01583282-workers-0-0-0.2118.0	1762849	runs/geneval/sd35-geneval-nft-ours-1singleloss-alpha-old-kl1e-4-beta1-t10of10-r1-20260828/events.out.tfevents.1787940377.kevinliu-vgsao1-260829-01583282-workers-0-0-0.2118.0	1762849	4a1111db2716cadd3b5c27f9ab6258a61aef1d56aa9e730a3ce1f9726492b05e	31494	31494	0	0	57	31492	1	721	0.9738137125968933	720	0.9674010872840881	sha256:531d95485182ec361c3ee5d1a307ddfe931798e81db55725c02048d46e693b5f	runtime-image-hashes-authoritative	scripts/baseline_exps/run_sd3_4090_16gpu_nft-ours-1.singleloss-alpha-old.sh	e0189a56437627ccfdeeef005ce0d68be9a6fbf6613e76f19ec531e4fd5bfbc6	scripts/train_nft_sd3_ours-1.singleloss-alpha.py	94f92ecb980ecf6b8aff679eca2b9c5f573ed864768f13bfb1d695443e52d233	PASS
sd35-geneval-nft-ours-1singleloss-alpha-theta-kl1e-4-beta1-t10of10-r1-20260828	geneval	usw2	kevinliu-vgsat1-260829-02011656	RUNNING	2026-08-31T06:51:10Z	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/baseline_exps/sd35-geneval-nft-ours-1singleloss-alpha-theta-kl1e-4-beta1-t10of10-r1-20260828/logs/baseline_exps/sd35-geneval-nft-ours-1singleloss-alpha-theta-kl1e-4-beta1-t10of10-r1-20260828_2026.08.28_18.07.13	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/baseline_exps/sd35-geneval-nft-ours-1singleloss-alpha-theta-kl1e-4-beta1-t10of10-r1-20260828/logs/baseline_exps/sd35-geneval-nft-ours-1singleloss-alpha-theta-kl1e-4-beta1-t10of10-r1-20260828_2026.08.28_18.07.13/events.out.tfevents.1787940433.kevinliu-vgsat1-260829-02011656-workers-0-0-0.1849.0	1765192	runs/geneval/sd35-geneval-nft-ours-1singleloss-alpha-theta-kl1e-4-beta1-t10of10-r1-20260828/events.out.tfevents.1787940433.kevinliu-vgsat1-260829-02011656-workers-0-0-0.1849.0	1765192	8e9cc99e29b883e2447f7de1c40e261a2e3234d2bb5a90befc4f3c2d119f13bb	31536	31536	0	0	57	31534	1	722	0.9435763955116272	720	0.9433828592300415	sha256:531d95485182ec361c3ee5d1a307ddfe931798e81db55725c02048d46e693b5f	runtime-image-hashes-authoritative	scripts/baseline_exps/run_sd3_4090_16gpu_nft-ours-1.singleloss-alpha-theta.sh	b727c66dc3c18b5873ab5c7fc1d54a2be7c331c50b3c51cbf4ab51b63c2d3249	scripts/train_nft_sd3_ours-1.singleloss-alpha.py	94f92ecb980ecf6b8aff679eca2b9c5f573ed864768f13bfb1d695443e52d233	PASS
vr_noalpha_geneval_20260830_091741_PDT	geneval	devbox	-	RUNNING	2026-09-01T03:34:45Z	/mnt/ephemeral/vr-noalpha-runs/vr_noalpha_geneval_20260830_091741_PDT/logs/tensorboard	/mnt/ephemeral/vr-noalpha-runs/vr_noalpha_geneval_20260830_091741_PDT/logs/tensorboard/vr_noalpha_geneval_20260830_091741_PDT_2026.08.30_16.19.45/events.out.tfevents.1788106785.2fa2eb3571f0.938.0	332049	runs/geneval/vr_noalpha_geneval_20260830_091741_PDT/events.out.tfevents.1788106785.2fa2eb3571f0.938.0	332049	aabc30b790768ad2ccfa390ad225ddc77a8bd43367cbfc56dfbed5b86c9c2dec	6138	6138	0	0	44	6136	1	199	0.5523726940155029	200	0.6754286885261536	sha256:531d95485182ec361c3ee5d1a307ddfe931798e81db55725c02048d46e693b5f	470c7ddede70d8fd3ce38de017eeabddd7503072	scripts/baseline_exps/run_sd3_geneval_h200_8gpu_nft-ours-1.singleloss-noalpha.sh	426a265bbe47a553abd4df677967f16d529ca39cff366ac840aa0415c8418b14	scripts/train_nft_sd3_ours-1.singleloss-noalpha.py	ccfe6052f1e964183c75e7ff66f8792433fc5685c7be67860f53f5d43623dec7	PASS
sd35-pickscore-nft-ours-1singleloss-alpha-old-kl1e-4-beta1-t10of10-r1-20260828	pickscore	usw2	kevinliu-vpsao1-260829-02062218	RUNNING	2026-08-31T06:51:10Z	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/baseline_exps/sd35-pickscore-nft-ours-1singleloss-alpha-old-kl1e-4-beta1-t10of10-r1-20260828/logs/baseline_exps/sd35-pickscore-nft-ours-1singleloss-alpha-old-kl1e-4-beta1-t10of10-r1-20260828_2026.08.28_18.08.15	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/baseline_exps/sd35-pickscore-nft-ours-1singleloss-alpha-old-kl1e-4-beta1-t10of10-r1-20260828/logs/baseline_exps/sd35-pickscore-nft-ours-1singleloss-alpha-old-kl1e-4-beta1-t10of10-r1-20260828_2026.08.28_18.08.15/events.out.tfevents.1787940496.kevinliu-vpsao1-260829-02062218-workers-0-0-0.958.0	5170984	runs/pickscore/sd35-pickscore-nft-ours-1singleloss-alpha-old-kl1e-4-beta1-t10of10-r1-20260828/events.out.tfevents.1787940496.kevinliu-vpsao1-260829-02062218-workers-0-0-0.958.0	5170984	546b7a2c5e8ae4bee562ee4208fc62b1895952e68753c11edf4a129e8821ffe8	92921	92921	0	0	42	92919	1	2255	0.9184828996658325	2250	0.916593074798584	sha256:531d95485182ec361c3ee5d1a307ddfe931798e81db55725c02048d46e693b5f	runtime-image-hashes-authoritative	scripts/baseline_exps/run_sd3_pickscore_4090_16gpu_nft-ours-1.singleloss-alpha-old.sh	04f78f2781a3b1d52c9cecc5641200bb5de1b59cd56e2d3b88ec7a262f88f747	scripts/train_nft_sd3_ours-1.singleloss-alpha.py	94f92ecb980ecf6b8aff679eca2b9c5f573ed864768f13bfb1d695443e52d233	PASS
sd35-pickscore-nft-ours-1singleloss-alpha-theta-kl1e-4-beta1-t10of10-r1-20260828	pickscore	usw2	kevinliu-vpsat1-260829-02080533	RUNNING	2026-08-31T06:51:10Z	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/baseline_exps/sd35-pickscore-nft-ours-1singleloss-alpha-theta-kl1e-4-beta1-t10of10-r1-20260828/logs/baseline_exps/sd35-pickscore-nft-ours-1singleloss-alpha-theta-kl1e-4-beta1-t10of10-r1-20260828_2026.08.28_18.09.58	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/baseline_exps/sd35-pickscore-nft-ours-1singleloss-alpha-theta-kl1e-4-beta1-t10of10-r1-20260828/logs/baseline_exps/sd35-pickscore-nft-ours-1singleloss-alpha-theta-kl1e-4-beta1-t10of10-r1-20260828_2026.08.28_18.09.58/events.out.tfevents.1787940599.kevinliu-vpsat1-260829-02080533-workers-0-0-0.941.0	5168709	runs/pickscore/sd35-pickscore-nft-ours-1singleloss-alpha-theta-kl1e-4-beta1-t10of10-r1-20260828/events.out.tfevents.1787940599.kevinliu-vpsat1-260829-02080533-workers-0-0-0.941.0	5168709	6e2a79780e240e4e1cde9680129ca14ae535740deed547f2103fd37dc26a72e2	92880	92880	0	0	42	92878	1	2254	0.9081717729568481	2250	0.9174151420593262	sha256:531d95485182ec361c3ee5d1a307ddfe931798e81db55725c02048d46e693b5f	runtime-image-hashes-authoritative	scripts/baseline_exps/run_sd3_pickscore_4090_16gpu_nft-ours-1.singleloss-alpha-theta.sh	ddddb2952bd9c7c02941a74496f008f00e11bf8c458559378f77c00206cd3ce5	scripts/train_nft_sd3_ours-1.singleloss-alpha.py	94f92ecb980ecf6b8aff679eca2b9c5f573ed864768f13bfb1d695443e52d233	PASS
sd35-geneval-nft-ours-4selection-baseline-rho1-kl1e-4-beta1-fulltime-r1-20260908	geneval	usw2	kevinliu-vs4br1-260909-00002193	RUNNING	2026-09-10T10:47:56Z	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-baseline-rho1-kl1e-4-beta1-fulltime-r1-20260908/logs	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-baseline-rho1-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-baseline-rho1-kl1e-4-beta1-fulltime-r1-20260908_2026.09.08_16.03.45/events.out.tfevents.1788883425.kevinliu-vs4br1-260909-00002193-workers-0-0-0.1935.0@bytes=216178@sha256=ec49a89da1561ee6659effe4a5e89d49c242137a4154c8526c8076cfff11104d;/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-baseline-rho1-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-baseline-rho1-kl1e-4-beta1-fulltime-r1-20260908_2026.09.09_01.13.05/events.out.tfevents.1788916385.kevinliu-vs4br1-260909-00002193-workers-0-0-0.1841.0@bytes=864256@sha256=d3135e58bf42e50eb8d71b1336a463f08997ca7c0d3666e707c24fcd5a4c494a	1080434	runs/geneval/sd35-geneval-nft-ours-4selection-baseline-rho1-kl1e-4-beta1-fulltime-r1-20260908/events.out.tfevents.image-free	1080434	f8c7c0db24106b74715b49bcf5bcb82d6a0ef54e94bd9bbf8cecb1bb1de38ba0	19425	19425	0	0	51	19421	2	516	0.9738137125968933	510	0.9599820375442505	sha256:e7f5f08a1bfb492f19dfdffc589fbf56f6a4650b06de583d8b5298e19cf04d66	269270ef1211b603a3fa4e1364434b4f30389971	scripts/weight_exps/run_sd3_4090_16gpu_nft-ours-4.selection-baseline-rho1-beta1.0.sh	7f09be71617049e6eeb6c8996716f2e679390bf78e8efa8ccf95d1958e0d38b3	scripts/train_nft_sd3_ours-4.singleloss-alpha-selection.py	bd6650a7721ed04dd66f31f53b7ea2a27c5a801f17512723027412494ac8048c	PASS
sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908	geneval	usw2	kevinliu-vs4b12-260909-00003592	RUNNING	2026-09-09T06:45:24Z	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908/logs	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908_2026.09.08_16.03.03/events.out.tfevents.1788883384.kevinliu-vs4b12-260909-00003592-workers-0-0-0.1901.0@bytes=186728@sha256=f166d83f174520d7d392a8ff7b74d1668100054ce0ea40e0b37383dd9a3db699;/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908_2026.09.08_23.44.58/events.out.tfevents.1788911099.kevinliu-vs4b12-260909-00003592-workers-0-0-0.1839.0@bytes=24454@sha256=25d94dd63cc343fea60af94949a093a9725f49429629266323406124cde3b5f0;/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908_2026.09.09_00.49.51/events.out.tfevents.1788914991.kevinliu-vs4b12-260909-00003592-workers-0-0-0.1838.0@bytes=154483@sha256=d97821e0b9508deb7f0f120bbf7227f26bb0fbaf94469a25894142c5c3495cdf	365665	runs/geneval/sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908/events.out.tfevents.image-free	365665	b46c6ceb453ca3b8fd79cc798f543e55b92ac1e33331dd7845ac683a90cf8da3	6558	6558	0	0	51	6552	3	171	0.8835358619689941	170	0.8417266011238098	sha256:e7f5f08a1bfb492f19dfdffc589fbf56f6a4650b06de583d8b5298e19cf04d66	269270ef1211b603a3fa4e1364434b4f30389971	scripts/weight_exps/run_sd3_4090_16gpu_nft-ours-4.selection-b-rho-1of2-beta1.0.sh	48105396966cd1589bc60b0c2e940dbd1f0171275c1c96d523696af114e32d9b	scripts/train_nft_sd3_ours-4.singleloss-alpha-selection.py	bd6650a7721ed04dd66f31f53b7ea2a27c5a801f17512723027412494ac8048c	PASS
sd35-geneval-nft-ours-4selection-b-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908	geneval	usw2	kevinliu-vs4b13-260909-00004968	RUNNING	2026-09-09T06:45:24Z	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908/logs	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908_2026.09.08_16.03.01/events.out.tfevents.1788883381.kevinliu-vs4b13-260909-00004968-workers-0-0-0.1902.0@bytes=178955@sha256=228c87c4cd206109e6585274cd250836788724f0fd975b821c7528f9faac2303;/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908_2026.09.08_23.23.14/events.out.tfevents.1788909795.kevinliu-vs4b13-260909-00004968-workers-0-0-0.1841.0@bytes=196766@sha256=6493e89f2ac58010d13205f8d658b062485dc7b81c0e7fa3c6a00c04f10e0039	375721	runs/geneval/sd35-geneval-nft-ours-4selection-b-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908/events.out.tfevents.image-free	375721	337da5629d719ebdb47ec81228a1874ac4d0cef89442076d3377f8be45188fbb	6772	6772	0	0	51	6768	2	179	0.6344039440155029	170	0.7220473885536194	sha256:e7f5f08a1bfb492f19dfdffc589fbf56f6a4650b06de583d8b5298e19cf04d66	269270ef1211b603a3fa4e1364434b4f30389971	scripts/weight_exps/run_sd3_4090_16gpu_nft-ours-4.selection-b-rho-1of3-beta1.0.sh	4cb450b5295cd0b5584e880c5799fd5ea9c8994e2a325703e42353a676522bde	scripts/train_nft_sd3_ours-4.singleloss-alpha-selection.py	bd6650a7721ed04dd66f31f53b7ea2a27c5a801f17512723027412494ac8048c	PASS
sd35-geneval-nft-ours-4selection-b-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908	geneval	usw2	kevinliu-vs4b23-260909-00010378	RUNNING	2026-09-09T06:45:24Z	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908/logs	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908_2026.09.08_16.03.14/events.out.tfevents.1788883394.kevinliu-vs4b23-260909-00010378-workers-0-0-0.1900.0@bytes=199518@sha256=dff6cd78d85431671e04e1db5f504fcd6d4c43e3c9f74a727acf046fe903bdaa;/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908_2026.09.09_00.14.25/events.out.tfevents.1788912866.kevinliu-vs4b23-260909-00010378-workers-0-0-0.1843.0@bytes=24469@sha256=d11be0db973c01d34b8c69e2f6c1945f9bb6c4e86831c9b00fcae59f477d2dfc;/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908_2026.09.09_01.12.32/events.out.tfevents.1788916352.kevinliu-vs4b23-260909-00010378-workers-0-0-0.1852.0@bytes=144512@sha256=9f3ab4cf0ca71e68cdb26c6ff6d6f380f0c248ebd66bdb91f738eb09ad596ec5	368499	runs/geneval/sd35-geneval-nft-ours-4selection-b-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908/events.out.tfevents.image-free	368499	d71a92b450d607102723189ff36079c11788dcb45189ae5486d912e5ca6876f4	6607	6607	0	0	51	6601	3	175	0.8921440839767456	170	0.8752623200416565	sha256:e7f5f08a1bfb492f19dfdffc589fbf56f6a4650b06de583d8b5298e19cf04d66	269270ef1211b603a3fa4e1364434b4f30389971	scripts/weight_exps/run_sd3_4090_16gpu_nft-ours-4.selection-b-rho-2of3-beta1.0.sh	6efa42644e58b3eedffa6e92705d223bd6e8833f6f608b9c9eff95428dd2d410	scripts/train_nft_sd3_ours-4.singleloss-alpha-selection.py	bd6650a7721ed04dd66f31f53b7ea2a27c5a801f17512723027412494ac8048c	PASS
sd35-geneval-nft-ours-4selection-c-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908	geneval	usw2	kevinliu-vs4c12-260909-00290419	RUNNING	2026-09-09T06:45:24Z	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908/logs	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908_2026.09.08_16.31.14/events.out.tfevents.1788885074.kevinliu-vs4c12-260909-00290419-workers-0-0-0.1895.0@bytes=181607@sha256=641687d37121a9ef429f9cc21888f735bbe91cb14afe0a3867aa93b2f3b4f4af;/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908_2026.09.09_00.04.16/events.out.tfevents.1788912257.kevinliu-vs4c12-260909-00290419-workers-0-0-0.1849.0@bytes=173865@sha256=e183b33b31a58e55ca75a5c10145a66589ef29d7c0a7afc5faed55dcd8b59124	355472	runs/geneval/sd35-geneval-nft-ours-4selection-c-rho-1of2-kl1e-4-beta1-fulltime-r1-20260908/events.out.tfevents.image-free	355472	01f7d002ad6357b57d320b38a63b6a1d14d0421c2015177f99f7b2d19d0d4c8b	6409	6409	0	0	51	6405	2	169	0.9035012125968933	160	0.9117955565452576	sha256:e7f5f08a1bfb492f19dfdffc589fbf56f6a4650b06de583d8b5298e19cf04d66	269270ef1211b603a3fa4e1364434b4f30389971	scripts/weight_exps/run_sd3_4090_16gpu_nft-ours-4.selection-c-rho-1of2-beta1.0.sh	deb9c0fff80eff87ae6d7d87e561611958f70e828a3aa134b83ec8e045a304ad	scripts/train_nft_sd3_ours-4.singleloss-alpha-selection.py	bd6650a7721ed04dd66f31f53b7ea2a27c5a801f17512723027412494ac8048c	PASS
sd35-geneval-nft-ours-4selection-c-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908	geneval	usw2	kevinliu-vs4c13-260909-00291871	RUNNING	2026-09-09T06:45:24Z	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908/logs	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908_2026.09.08_16.31.28/events.out.tfevents.1788885088.kevinliu-vs4c13-260909-00291871-workers-0-0-0.1892.0@bytes=173114@sha256=6d181471d59f0fb8bb1622c78a5a86458fb4a5cb764bcc992baa65119d4daedc;/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908_2026.09.08_23.49.11/events.out.tfevents.1788911352.kevinliu-vs4c13-260909-00291871-workers-0-0-0.1916.0@bytes=36151@sha256=4861f869de5050f3fca000cf53feb34b2286638b29a1286ede941c4eb3f7155c;/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908_2026.09.09_01.27.36/events.out.tfevents.1788917256.kevinliu-vs4c13-260909-00291871-workers-0-0-0.1832.0@bytes=137525@sha256=6f06e953fc60aaae1e81a89f911b1ada0a20d4e8c3e328e8e32927bf7547ca2b	346790	runs/geneval/sd35-geneval-nft-ours-4selection-c-rho-1of3-kl1e-4-beta1-fulltime-r1-20260908/events.out.tfevents.image-free	346790	759f83432929d72ef6f39b14fbdffe69a304872e6abd4f856eeaa7aa77a19096	6218	6218	0	0	51	6212	3	163	0.8926504850387573	160	0.9038144946098328	sha256:e7f5f08a1bfb492f19dfdffc589fbf56f6a4650b06de583d8b5298e19cf04d66	269270ef1211b603a3fa4e1364434b4f30389971	scripts/weight_exps/run_sd3_4090_16gpu_nft-ours-4.selection-c-rho-1of3-beta1.0.sh	28d48225adfac0af80f1cd46a5602c90d87b908329c93d3a78f54d37254cfe69	scripts/train_nft_sd3_ours-4.singleloss-alpha-selection.py	bd6650a7721ed04dd66f31f53b7ea2a27c5a801f17512723027412494ac8048c	PASS
sd35-geneval-nft-ours-4selection-c-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908	geneval	usw2	kevinliu-vs4c23-260909-00293450	RUNNING	2026-09-09T06:45:24Z	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908/logs	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908_2026.09.08_16.31.45/events.out.tfevents.1788885105.kevinliu-vs4c23-260909-00293450-workers-0-0-0.1905.0@bytes=177008@sha256=2cc56349bcee356af34e30ed595681129913cd9e69dacc9f481e7275f4ac28a8;/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908/logs/weight_exps/sd35-geneval-nft-ours-4selection-c-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908_2026.09.08_23.47.46/events.out.tfevents.1788911266.kevinliu-vs4c23-260909-00293450-workers-0-0-0.1842.0@bytes=178883@sha256=12854919e99a253c43bfc9634d588e4052f773f9bf96793ff55226e5d2d98398	355891	runs/geneval/sd35-geneval-nft-ours-4selection-c-rho-2of3-kl1e-4-beta1-fulltime-r1-20260908/events.out.tfevents.image-free	355891	661eb0b44239a43bb95192bbf5cee10873d4d6c4dc95fdfb2a6ea515566df7bd	6412	6412	0	0	51	6408	2	169	0.8940972089767456	170	0.921462893486023	sha256:e7f5f08a1bfb492f19dfdffc589fbf56f6a4650b06de583d8b5298e19cf04d66	269270ef1211b603a3fa4e1364434b4f30389971	scripts/weight_exps/run_sd3_4090_16gpu_nft-ours-4.selection-c-rho-2of3-beta1.0.sh	a372415a270a5fc337aac380cd201e803542cdeafe626f71210434f83e038b6d	scripts/train_nft_sd3_ours-4.singleloss-alpha-selection.py	bd6650a7721ed04dd66f31f53b7ea2a27c5a801f17512723027412494ac8048c	PASS
sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta0p2-fulltime-r1-20260909	geneval	usw2	kevinliu-vs4b12b02-260910-01061769	RUNNING	2026-09-10T10:47:56Z	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta0p2-fulltime-r1-20260909/logs	/mnt/shared_storage/usr/kevinliu/velocity-reweighting/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta0p2-fulltime-r1-20260909/logs/weight_exps/sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta0p2-fulltime-r1-20260909_2026.09.09_17.12.26/events.out.tfevents.1788973946.kevinliu-vs4b12b02-260910-01061769-workers-0-0-0.1855.0@bytes=455524@sha256=ec70446cf156c8d6931eadb08866ffeb0336fcca692094810a7985eed3916770	455524	runs/geneval/sd35-geneval-nft-ours-4selection-b-rho-1of2-kl1e-4-beta0p2-fulltime-r1-20260909/events.out.tfevents.image-free	455524	ec70446cf156c8d6931eadb08866ffeb0336fcca692094810a7985eed3916770	8238	8238	0	0	51	8236	1	218	0.9078414440155029	210	0.8974820375442505	sha256:e7f5f08a1bfb492f19dfdffc589fbf56f6a4650b06de583d8b5298e19cf04d66	269270ef1211b603a3fa4e1364434b4f30389971	scripts/weight_exps/run_sd3_4090_16gpu_nft-ours-4.selection-b-rho-1of2-beta0.2.sh	490f34283fb600db3a6a65ce5a61837581d35064f88811646a5b2cde5bbbbd86	scripts/train_nft_sd3_ours-4.singleloss-alpha-selection.py	bd6650a7721ed04dd66f31f53b7ea2a27c5a801f17512723027412494ac8048c	PASS
